dates,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
2018-01-22 16:33:48+00:00,438.44295467477104,425.75610614124935,436.1223125436687,491.33685638110205,482.0973376061815,,,,512.1012883275331,487.2277571619277
2018-02-06 16:33:03+00:00,444.1666837256994,415.4903658286742,443.05383885627793,502.6776666858845,485.9710182174522,574.990854247228,562.0216790844481,533.206224163977,521.397332573637,500.0881181846504
2018-02-11 16:33:00+00:00,464.596760104705,426.9878346492886,455.8739975149485,517.1708433052312,506.25153498754014,588.5262543567674,579.2427422806554,548.559942242574,529.5856628760353,513.9528606867481
2018-02-21 16:33:47+00:00,441.7171795931612,,437.5668921897302,498.2940020619744,478.755548584369,577.740777564383,561.2542265694938,533.1228772135373,524.5247734611372,505.7041491814804
2018-03-03 16:32:58+00:00,452.9982812385503,405.07079776865805,440.7610420965942,500.958954007589,503.7424936266521,569.0538014800766,557.2786617032291,536.5029584089006,531.5905000961317,509.22168527707095
2018-03-08 16:33:03+00:00,463.6678665251048,410.8060776702552,444.1741810125437,508.5857976082417,500.5663946160128,579.650648175236,564.3704212927646,535.147385669884,522.1610123046147,509.083291976177
2018-03-13 16:32:59+00:00,483.6739408281792,437.9648737287676,457.8839608209093,525.2753594920837,524.1638539486668,587.3259014172063,579.7156701907086,547.7206900863939,537.04509463615,519.8009108512953
2018-03-18 16:33:04+00:00,458.7381122556827,403.0296746881181,431.922871217885,497.1739711353479,481.4951974557538,557.4256686913923,546.834744350617,504.0146765588431,503.6000128045032,488.63287276878566
2018-03-23 16:33:02+00:00,473.650156790239,420.2187619024701,450.3704873657405,503.8984864131052,499.4238455356536,576.8868943373138,564.7959560686269,531.726341225448,516.1953622253811,509.3147999332522
2018-03-28 16:33:06+00:00,475.7857520556724,421.2460234838584,445.29611949256855,513.7883530947323,509.25094356671696,572.9805936703088,568.155860186305,536.4592899962367,520.1311532559166,510.2758517071514
2018-04-02 16:33:52+00:00,451.91036349755655,399.2561572371903,439.0506417368284,486.7995940640775,485.30255120602897,555.0167314956625,548.2465844479484,506.99936413333467,492.8466298175705,494.3840879732402
2018-04-07 16:33:08+00:00,468.6947544161304,416.7760641843876,446.85182869249866,505.5287359201104,507.30991685795,571.3130099361184,567.6843956829543,531.9457275120463,513.5402226139332,508.2908013363612
2018-04-08 16:15:31+00:00,466.0987270984597,407.1659191627525,444.3462291121631,507.59982590061605,510.8743071701842,576.0069771249733,576.7048040247026,529.5237283605361,513.0952370234008,508.5533764234479
2018-04-12 16:33:05+00:00,476.8778661267691,,,515.4082117120013,,586.7052877314563,581.4574239898506,542.9134045452985,,
2018-04-17 16:33:56+00:00,467.69906776274,401.5988402052562,439.4835544316512,486.6101176371652,500.0012310184114,560.737761152491,554.513025758227,509.5548177193595,488.5766537921346,485.52223479535184
2018-04-22 16:33:06+00:00,481.4855848230724,425.91097726439824,457.8657468608354,517.2221960974723,510.2927092271206,581.514062255563,572.0467401102132,537.3597761494566,516.6928904664856,515.21882304234
2018-04-27 16:33:09+00:00,473.6248866031665,416.1367118490487,444.0124759917698,511.7714815248595,507.6230785524559,584.9170285993184,571.6569272230665,537.705722590599,512.7036867387427,512.7874479772637
2018-05-02 16:33:38+00:00,458.9749879378028,400.3651963262552,434.2689603985509,474.1213378707676,490.7375207919281,555.8652332055105,549.014703235878,502.0628339229572,486.2856810113375,479.9948580859484
2018-05-10 16:15:12+00:00,474.66820658684463,418.0282783631524,450.6222889577506,509.6882247373227,519.8746255906264,578.6829455971103,574.6567537251765,538.4757128732817,520.3671984443065,508.8816440416303
2018-05-12 16:33:06+00:00,477.8829669365769,430.1524761390307,452.4449416804174,513.6356696413085,519.0619925135494,573.6994475414342,571.6848655581823,536.9840018196535,517.6903957735591,511.5375595198423
