,dates,satname,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
233,2021-05-02 16:15:40+00:00,L8,475.880683600299,411.0181466803761,446.1173626189592,501.7375652397763,507.545413764077,570.9618881349079,548.1007535486939,519.2503305401195,511.3120149827525,497.7188350549292
234,2021-08-04 16:33:57+00:00,S2,470.74161360621434,424.38263229934296,441.6968117855151,499.105440684404,502.46114561128553,579.2641561676213,551.2996803501649,510.1727464219536,510.3501819595441,500.01916874648265
235,2021-09-03 16:33:52+00:00,S2,466.19539973446,,446.26832490601356,504.9547914504672,501.39415031853054,,,,505.4052713427195,496.09241327644946
236,2021-09-23 16:33:53+00:00,S2,,,,,,585.0075875715936,572.2875756854503,522.0928263849174,504.7781349846949,
237,2021-11-22 16:15:56+00:00,L9,477.75356040049087,442.8126023635948,458.70347156247385,536.5044854376641,518.7972979820734,597.098652093158,573.5497883605104,534.177764690935,506.4964521305127,512.0215600160474
238,2021-11-22 16:33:52+00:00,S2,484.2972106992535,457.600956239632,466.6197479923104,540.1687084537357,530.1337156972555,597.8896763085597,582.4032940127737,541.6796065062766,512.0283901419388,517.727118031699
239,2021-12-20 16:16:25+00:00,L9,479.1288727996809,438.32369149824456,459.2904823624831,534.4473228546146,527.5682757709008,584.9148728425484,568.0595113622612,538.4553176452699,516.0391337785028,525.138705836389
240,2021-12-28 16:16:24+00:00,L8,468.56658111934365,408.117231772314,443.1271335141439,,498.9954706991342,569.1246264721984,548.4697885888254,518.8491482629424,,
241,2022-01-11 16:33:51+00:00,S2,475.3494081271211,425.4645354371051,449.9213448573924,514.4859010237175,505.78744615433556,572.6723515290903,557.3455930983048,527.6050163906258,507.61658284849403,507.5485793683382
242,2022-02-05 16:33:55+00:00,S2,511.1194416095358,436.3964133202496,465.8023409068022,534.0715812373605,525.6889653114482,585.7193512512081,580.6685748988805,550.9809337950021,537.1582261863996,527.6327190585806
243,2022-02-06 16:16:24+00:00,L9,494.89639822249194,417.33221641818926,455.3869213581919,519.7019996357706,503.151970691914,573.4420420763694,569.7114137325669,530.1930387461559,511.41988906852515,512.7716295079266
244,2022-02-14 16:16:13+00:00,L8,494.72129538932353,424.67032358874474,455.74788614575334,517.3937119336866,505.2105334320822,574.174878173275,562.7748686027973,534.5925127719532,517.1103516892276,512.809860494844
