date,Hs_max,Tp,MeanDir
2001-08-13,1.8172808,8.390968,174.81438
2001-08-14,1.9885254,9.209328,170.1622
2001-08-15,2.187622,9.838722,172.97614
2001-08-16,2.1710205,9.826515,173.74371
2001-08-17,2.005005,9.315773,172.79884
2001-08-23,1.5970459,16.389015,185.38873
2001-08-24,2.5339355,16.297218,198.88004
2001-08-25,2.5770922,16.051613,198.74059
2001-08-26,2.287075,14.527687,193.79749
2001-08-27,2.119751,14.249367,183.50038
2001-08-28,2.104248,14.199074,183.78464
2001-08-29,1.9379883,13.305763,178.76187
2001-08-30,1.8963623,13.018898,175.66768
2001-08-31,1.637207,12.014992,173.01291
2001-09-01,1.3972168,8.3235855,171.26901
2001-09-02,1.4939413,8.445168,170.7672
2001-09-03,2.3382568,18.082375,177.0349
2001-09-04,2.63208,16.443703,177.4175
2001-09-05,2.465332,15.547707,176.16302
2001-09-06,2.2211914,13.815285,170.82921
2001-09-07,1.8791504,13.429054,171.55461
2001-09-08,1.5489502,8.499855,170.4283
2001-09-09,1.9042969,16.417336,179.90659
2001-09-10,1.9440918,15.227394,180.02373
2001-09-11,1.9875488,9.372414,176.20415
2001-09-12,2.161377,11.234718,177.70404
2001-09-13,2.1566162,11.381203,175.45073
2001-09-14,2.0220947,10.821144,170.46413
2001-09-15,1.7691612,9.419777,173.69728
2001-09-16,1.7843018,17.969093,188.87286
2001-09-17,1.7108154,15.60923,191.5321
2001-09-18,1.642334,17.89927,193.54723
2001-09-19,2.1049805,16.137062,190.01277
2001-09-20,2.1036377,15.959328,189.46126
2001-09-21,1.7904053,13.911964,184.24196
2001-09-22,1.7125244,13.218117,182.60617
2001-09-23,1.6853905,14.607277,188.78508
2001-09-24,1.5180273,14.122414,190.57109
2001-09-25,1.4328613,12.358742,185.16534
2001-09-26,1.5183105,11.506203,179.18765
2001-09-27,1.9136963,15.368019,180.27837
2001-09-28,2.164422,15.025246,186.37576
2001-09-29,2.2843018,14.619484,184.86519
2001-09-30,2.1647177,13.224464,181.14728
2001-10-01,2.069336,9.01255,180.96274
2001-10-02,1.9023438,14.33091,189.43576
2001-10-03,1.8669434,14.588722,186.04259
2001-10-04,1.949707,14.087257,189.05428
2001-10-05,2.0352688,13.349953,188.64195
2001-10-06,1.9384766,12.90464,186.98126
2001-10-07,1.795166,18.944191,188.69955
2001-10-08,2.277954,17.308937,197.05203
2001-10-09,2.3830566,16.107277,195.38657
2001-10-10,2.2628174,15.198097,194.8237
2001-10-11,2.2749023,15.43882,199.2279
2001-10-12,2.3447285,15.324562,198.47716
2001-10-13,2.111637,14.386574,197.57338
2001-10-14,1.9606934,13.628273,194.05705
2001-10-15,1.8341064,15.072609,194.42555
2001-10-16,1.6552734,13.708351,194.7895
2001-10-17,1.6253662,13.45005,196.96652
2001-10-18,1.8450928,13.297218,197.16634
2001-10-19,2.1069336,15.630226,200.50798
2001-10-20,2.161377,15.204445,201.48523
2001-10-21,2.053833,14.010109,203.0418
2001-10-22,1.8339844,13.006691,198.00041
2001-10-23,1.6620369,11.812355,188.36125
2001-10-24,1.5059814,13.211769,185.829
2001-10-25,1.361084,11.83091,187.04958
2001-10-26,1.1876221,10.668312,182.38431
2001-10-27,1.517334,13.134621,183.08536
2001-10-28,1.8679686,12.616066,186.54259
2001-10-29,1.8958492,12.957375,184.90413
2001-10-30,1.8686523,12.724953,184.8594
2001-10-31,1.680542,11.729347,185.17384
2001-11-01,1.4804688,11.775734,191.861
2001-11-02,1.3479004,10.819191,180.59312
2001-11-03,1.2580566,14.254738,193.88379
2001-11-04,1.4029541,12.3426285,188.283
